Nonwhite,Child,Neighborhood,Response,NumDaysUp,Subject
0,0,FinancialDistrict,1,10,1
1,1,MidtownEast,1,27,1
0,1,FinancialDistrict,0,3,1
0,1,SoHo,0,15,1
0,0,MidtownEast,1,17,1
0,1,UpperWestSide,0,12,1
0,1,UpperEastSide,0,10,1
1,1,UpperEastSide,0,10,1
1,0,Gramercy,0,10,1
1,0,Gramercy,0,9,1
0,0,FinancialDistrict,1,25,1
0,1,UpperWestSide,1,3,1
0,0,EastHarlem,1,3,1
0,0,MidtownWest,1,7,1
0,0,EastVillage,1,5,1
1,1,Inwood/WashHts,1,3,1
1,0,Chelsea,1,7,1
0,1,MurrayHill,1,3,1
0,0,EastHarlem,1,20,1
0,0,MidtownEast,1,26,1
0,1,UpperEastSide,0,13,1
1,1,MidtownEast,1,10,1
1,1,MurrayHill,1,8,1
0,1,MidtownEast,1,12,1
0,1,UpperWestSide,1,4,1
1,1,MidtownEast,0,33,1
0,1,MidtownEast,1,33,1
1,0,EastVillage,0,19,1
0,1,Inwood/WashHts,0,7,1
1,1,EastHarlem,0,28,1
0,0,Inwood/WashHts,1,17,1
1,1,UpperEastSide,1,19,1
0,0,Inwood/WashHts,0,6,1
1,0,Midtown,0,24,1
0,0,MurrayHill,0,6,1
0,0,EastHarlem,1,20,1
1,1,UpperEastSide,1,13,1
0,1,MidtownEast,0,31,1
0,0,Midtown,1,2,1
1,1,MidtownWest,0,4,1
0,1,EastVillage,0,9,1
0,1,MidtownWest,1,29,1
0,1,Midtown,1,4,1
1,0,UpperEastSide,1,3,1
0,1,Gramercy,1,12,1
0,0,MurrayHill,1,16,1
0,0,UnionSquare,1,3,1
0,0,TriBeCa,1,18,1
1,0,EastVillage,0,7,1
1,1,Inwood/WashHts,0,14,1
0,0,UpperWestSide,1,37,1
1,0,UpperEastSide,1,35,1
1,0,Harlem/Morningside,0,26,1
0,0,UpperEastSide,0,20,1
0,0,Inwood/WashHts,1,17,1
0,0,Chelsea,1,9,1
0,0,MurrayHill,1,14,1
0,0,Inwood/WashHts,1,11,1
0,1,Inwood/WashHts,1,15,1
0,1,MidtownEast,1,6,1
1,0,LowerEastSide,0,21,1
1,1,Harlem/Morningside,1,3,1
0,1,UpperEastSide,0,8,1
0,0,UpperEastSide,1,4,1
0,0,Harlem/Morningside,1,28,1
0,1,Chelsea,1,8,1
1,1,Chelsea,0,9,1
0,1,UpperWestSide,0,5,1
0,1,TriBeCa,1,4,1
0,1,Harlem/Morningside,0,6,1
1,0,Inwood/WashHts,1,8,1
0,0,UpperWestSide,1,15,1
1,0,EastVillage,1,5,1
0,0,FinancialDistrict,1,8,1
1,1,EastHarlem,1,5,1
1,1,MurrayHill,1,26,1
0,0,UpperWestSide,0,29,1
0,0,Chelsea,0,11,1
0,0,MidtownWest,1,22,1
1,0,UpperEastSide,0,6,1
0,0,Midtown,1,7,1
0,0,MidtownWest,1,4,1
0,1,UpperEastSide,1,5,1
1,0,FinancialDistrict,0,9,1
0,0,Nolita/Bowery,1,25,1
0,1,UpperWestSide,1,33,1
1,1,Gramercy,0,10,1
1,0,Gramercy,0,5,1
0,0,EastVillage,0,13,1
0,1,EastVillage,0,5,1
0,0,EastVillage,0,19,1
0,0,EastVillage,1,19,1
1,1,Gramercy,1,3,1
1,1,GreenwichVillage,0,10,1
1,1,EastVillage,0,13,1
0,1,UpperEastSide,1,5,1
1,1,UpperEastSide,1,19,1
0,1,FinancialDistrict,1,6,1
1,0,UpperEastSide,1,9,1
1,1,SoHo,1,4,1
0,1,Chelsea,1,25,1
1,1,WestVillage,1,3,1
0,1,LowerEastSide,0,4,1
0,1,MidtownWest,1,17,1
0,0,UpperEastSide,1,7,1
0,0,Harlem/Morningside,0,22,1
0,0,Inwood/WashHts,1,2,1
0,1,Inwood/WashHts,1,17,1
1,1,FinancialDistrict,0,8,1
1,1,LowerEastSide,0,18,1
1,0,SoHo,1,3,1
1,0,UpperEastSide,1,26,1
1,1,FinancialDistrict,1,4,1
1,1,LowerEastSide,1,22,1
0,0,MidtownWest,1,7,1
1,0,MidtownWest,0,7,1
0,1,MidtownWest,1,6,1
0,1,MidtownEast,1,26,1
0,1,EastHarlem,1,20,1
0,1,Gramercy,1,13,1
0,0,UpperEastSide,0,3,1
1,0,Chelsea,0,4,1
0,1,Harlem/Morningside,1,5,1
0,0,UpperEastSide,0,31,1
0,0,Inwood/WashHts,1,11,1
1,1,MidtownEast,1,7,1
1,1,Inwood/WashHts,0,26,1
1,0,MidtownWest,1,2,1
0,1,EastHarlem,1,8,1
0,1,Gramercy,1,34,1
1,0,Gramercy,1,5,1
1,1,Inwood/WashHts,0,3,1
1,0,SoHo,0,19,1
1,1,MidtownEast,0,20,1
1,1,UnionSquare,1,7,1
0,1,MidtownWest,0,10,1
0,0,Inwood/WashHts,1,6,1
1,1,MurrayHill,1,7,1
1,1,MidtownEast,0,7,1
0,1,UpperEastSide,0,4,1
1,1,MidtownWest,1,12,1
1,1,EastHarlem,0,6,1
1,0,MidtownWest,1,12,1
1,1,MidtownWest,1,3,1
0,1,MurrayHill,0,7,1
0,1,Harlem/Morningside,0,3,1
0,1,UpperEastSide,0,6,1
1,1,TriBeCa,1,12,1
1,1,Gramercy,0,5,1
1,1,UpperWestSide,1,12,1
1,0,MidtownEast,0,25,1
0,0,MidtownEast,0,16,1
1,0,EastHarlem,1,6,1
1,1,Gramercy,1,6,1
1,1,UpperWestSide,0,7,1
1,0,Harlem/Morningside,1,10,1
0,1,LowerEastSide,1,22,1
0,0,LowerEastSide,0,29,1
0,1,Harlem/Morningside,1,16,1
0,1,WestVillage,0,21,1
1,1,Chinatown/LitItaly,0,6,1
0,0,WestVillage,1,13,1
0,1,SoHo,0,13,1
0,1,UpperWestSide,1,15,1
0,1,MidtownEast,1,26,1
0,0,MidtownEast,1,5,1
1,1,MurrayHill,0,34,1
1,1,MidtownEast,1,10,1
0,1,MurrayHill,1,2,1
0,0,Harlem/Morningside,1,3,1
1,1,LowerEastSide,0,30,1
1,1,UpperEastSide,0,8,1
1,0,Midtown,1,9,1
0,1,MurrayHill,0,3,1
0,0,Harlem/Morningside,1,5,1
0,1,MidtownEast,1,5,1
0,1,MurrayHill,1,3,1
0,0,Gramercy,1,5,1
1,1,MidtownEast,0,36,1
0,1,MurrayHill,1,3,1
0,0,TriBeCa,1,17,1
0,1,EastHarlem,1,2,1
1,1,MurrayHill,1,7,1
0,0,EastVillage,1,7,1
0,0,MidtownEast,1,2,1
0,0,UpperWestSide,1,5,1
1,0,MidtownWest,1,4,1
0,0,MidtownWest,1,7,1
1,1,Chelsea,1,9,1
0,0,MurrayHill,1,9,1
1,0,MurrayHill,1,8,1
1,1,Midtown,1,3,1
1,0,MidtownWest,1,34,1
1,0,MidtownEast,1,3,1
1,1,UpperWestSide,1,24,1
1,0,EastHarlem,1,5,1
0,0,LowerEastSide,1,16,1
1,1,Downtown,1,15,1
0,0,EastHarlem,0,3,1
1,1,EastHarlem,0,3,1
1,1,Midtown,1,5,1
0,0,MurrayHill,1,5,1
1,0,LowerEastSide,1,4,1
1,0,Inwood/WashHts,1,33,1
0,1,UpperWestSide,1,3,1
1,0,UpperEastSide,0,33,1
0,0,MurrayHill,1,2,1
0,0,Harlem/Morningside,1,19,1
0,0,GreenwichVillage,1,22,1
0,1,EastHarlem,1,3,1
0,1,UpperEastSide,0,31,1
1,0,Nolita/Bowery,1,6,1
1,1,MurrayHill,0,12,1
1,0,UpperWestSide,0,26,1
0,0,EastVillage,1,3,1
1,0,EastHarlem,1,3,1
1,0,Harlem/Morningside,1,21,1
0,0,EastHarlem,1,11,1
0,1,UnionSquare,0,33,1
1,1,Harlem/Morningside,1,3,1
1,0,MurrayHill,1,11,1
0,1,MurrayHill,0,10,1
0,0,MurrayHill,1,14,1
1,0,MurrayHill,0,10,1
1,0,UpperWestSide,1,12,1
1,1,EastVillage,1,4,1
1,0,Inwood/WashHts,1,8,1
0,1,EastVillage,0,33,1
1,0,Inwood/WashHts,0,7,1
1,1,Inwood/WashHts,0,7,1
1,0,MurrayHill,1,16,1
0,0,UpperEastSide,1,3,1
1,0,MurrayHill,1,10,1
0,1,Inwood/WashHts,1,24,1
0,0,Inwood/WashHts,0,8,1
0,1,MidtownWest,1,7,1
1,0,Harlem/Morningside,0,7,1
0,0,LowerEastSide,1,28,1
0,1,Midtown,0,27,1
1,0,EastVillage,0,19,1
0,0,UpperEastSide,0,19,1
1,1,TriBeCa,1,11,1
0,1,UpperEastSide,1,22,1
0,0,MurrayHill,1,2,1
1,1,Inwood/WashHts,1,6,1
1,1,Inwood/WashHts,1,15,1
0,0,UpperEastSide,1,4,1
0,1,Inwood/WashHts,1,6,1
1,0,FinancialDistrict,1,12,1
1,0,Inwood/WashHts,1,6,1
1,1,UpperEastSide,1,2,1
1,1,EastVillage,0,8,1
1,0,UpperEastSide,1,5,1
1,0,Chelsea,1,30,1
0,1,EastVillage,0,20,1
0,1,MurrayHill,0,7,1
1,0,MurrayHill,0,8,1
1,0,GreenwichVillage,1,15,1
0,1,GreenwichVillage,1,18,1
1,0,WestVillage,0,11,1
1,0,UpperEastSide,0,6,1
1,0,EastVillage,1,8,1
0,0,UpperWestSide,1,7,1
0,0,UpperEastSide,1,11,1
0,1,EastVillage,1,9,1
1,0,MidtownWest,1,8,1
1,1,MurrayHill,0,5,1
0,1,Inwood/WashHts,0,13,1
0,1,Harlem/Morningside,0,26,1
1,1,UpperWestSide,0,26,1
0,1,UpperEastSide,0,34,1
1,1,UpperWestSide,1,2,1
1,1,LowerEastSide,1,6,1
1,0,UpperEastSide,1,19,1
1,0,UpperWestSide,0,5,1
1,1,UpperWestSide,1,5,1
1,1,Harlem/Morningside,1,6,1
1,1,Harlem/Morningside,1,7,1
0,0,EastVillage,1,35,1
0,0,UpperWestSide,1,12,1
1,1,UpperWestSide,0,35,1
0,0,Chelsea,1,8,1
1,0,LowerEastSide,0,16,1
0,0,MidtownEast,0,25,1
0,0,BatteryPark,1,29,1
1,0,UpperEastSide,1,26,1
0,0,UpperWestSide,1,3,1
0,0,MidtownEast,1,36,1
0,0,MidtownWest,1,5,1
0,0,EastVillage,1,8,1
